,date,actions
0,2021-04-06,[100]
1,2021-04-07,[85]
2,2021-04-08,[30]
3,2021-04-09,[-6]
4,2021-04-12,[51]
5,2021-04-13,[100]
6,2021-04-14,[56]
7,2021-04-15,[7]
8,2021-04-16,[40]
9,2021-04-19,[100]
10,2021-04-20,[-12]
11,2021-04-21,[68]
12,2021-04-22,[-45]
13,2021-04-23,[100]
14,2021-04-26,[0]
15,2021-04-27,[-33]
16,2021-04-28,[75]
17,2021-04-29,[100]
18,2021-04-30,[31]
19,2021-05-03,[100]
20,2021-05-04,[32]
21,2021-05-05,[97]
22,2021-05-06,[100]
23,2021-05-07,[100]
24,2021-05-10,[5]
25,2021-05-11,[93]
26,2021-05-12,[100]
27,2021-05-13,[100]
28,2021-05-14,[100]
29,2021-05-17,[-100]
30,2021-05-18,[100]
31,2021-05-19,[100]
32,2021-05-20,[13]
33,2021-05-21,[2]
34,2021-05-24,[76]
35,2021-05-25,[100]
36,2021-05-26,[52]
37,2021-05-27,[100]
38,2021-05-28,[100]
39,2021-06-01,[100]
40,2021-06-02,[100]
41,2021-06-03,[84]
42,2021-06-04,[-7]
43,2021-06-07,[100]
44,2021-06-08,[-96]
45,2021-06-09,[100]
46,2021-06-10,[100]
47,2021-06-11,[56]
48,2021-06-14,[100]
49,2021-06-15,[100]
50,2021-06-16,[69]
51,2021-06-17,[58]
52,2021-06-18,[100]
53,2021-06-21,[-18]
54,2021-06-22,[66]
55,2021-06-23,[-100]
56,2021-06-24,[66]
57,2021-06-25,[-100]
58,2021-06-28,[26]
59,2021-06-29,[-45]
60,2021-06-30,[100]
61,2021-07-01,[43]
